N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
110,0.85503,0,67.3658511149228,0.04,1.22,0,47.2312620115311,0.06,12.3,9.8,6.4,41.2,16.1,54.97,174.65,12.3,9,6.1,20.5,18,53.59,358.27,12.3,9,6,20,17.6,52.62,364.88,43.2,8.16,51.36,41.2,41.2,82.4,37.2,6.56,43.76,40.87,8.12,48.99,0,40.87,40.87,40.87,8.12,48.99,40,8,48,40,8,48,40,8,48
120,0.8571,0,67.2033200526789,0.04,1.22,0,47.2312620115311,0.06,12,9.6,6.4,41.1,16.5,56.47,170.01,12.3,9,6.1,20.4,18,53.49,358.94,12.3,9,6,20,17.6,52.62,364.88,43.04,8.16,51.2,41.12,41.12,82.24,37.76,7.04,44.8,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40,8,48,40,8,48,40,8,48
130,0.85779,0,67.1495721509627,0.04,1.22,0,47.2312620115311,0.06,11.5,9.7,6.4,41,16.7,54.4,176.46,12.3,9,6.1,20.4,18,53.48,359.01,12.3,9,6,20,17.6,52.62,364.88,43.04,8.16,51.2,40.96,40.96,81.92,38.32,7.2,45.52,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40,8,48,40,8,48,40,8,48
140,0.85963,0,67.00571747284,0.04,1.22,0,47.2312620115311,0.06,11.6,9.5,6.4,40.9,17,54.83,175.07,12.3,9,6.1,20.3,17.9,53.36,359.82,12.3,9,6,20,17.6,52.62,364.88,42.88,8.16,51.04,40.88,40.88,81.76,38.88,7.36,46.24,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40,8,48,40,8,48,40,8,48
150,0.86015,0,66.9648576329331,0.04,1.22,0,47.2312620115311,0.06,11.9,9.6,6.4,40.9,17.2,54.75,175.34,12.3,9,6.1,20.3,17.9,53.33,360.02,12.3,9,6,20,17.6,52.62,364.88,42.96,8.16,51.12,40.88,40.88,81.76,39.28,7.6,46.88,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40,8,48,40,8,48,40,8,48
160,0.86141,0,66.8673756432247,0.04,1.22,0,47.2312620115311,0.06,11.6,9.5,6.4,40.8,17.3,55.24,173.79,12.3,9,6.1,20.3,17.9,53.27,360.42,12.3,9,6,20,17.6,52.62,364.88,42.8,8.16,50.96,40.8,40.8,81.6,39.52,7.68,47.2,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40,8,48,40,8,48,40,8,48
170,0.86179,0,66.8376235449237,0.04,1.22,0,47.2312620115311,0.06,11.2,9.5,6.4,40.7,17.4,55.03,174.44,12.3,9,6.1,20.3,17.9,53.26,360.49,12.3,9,6,20,17.6,52.62,364.88,42.96,8.24,51.2,40.72,40.72,81.44,39.76,7.76,47.52,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40,8,48,40,8,48,40,8,48
180,0.86295,0,66.7475167685172,0.04,1.22,0,47.2312620115311,0.06,11.5,9.4,6.4,40.7,17.6,55.41,173.24,12.3,9,6.1,20.3,17.9,53.2,360.9,12.3,9,6,20,17.6,52.62,364.88,42.56,8.24,50.8,40.72,40.72,81.44,40,7.84,47.84,40.5,8.12,48.62,0,40.5,40.5,40.5,8.12,48.62,40,8,48,40,8,48,40,8,48
190,0.86326,0,66.7235238421955,0.04,1.22,0,47.2312620115311,0.06,11.3,9.5,6.4,40.7,17.6,55.37,173.37,12.3,9,6.1,20.3,17.9,53.19,360.97,12.3,9,6,20,17.6,52.62,364.88,42.96,8.24,51.2,40.72,40.64,81.36,40.08,7.92,48,40.5,8.12,48.62,0,40.5,40.5,40.5,8.12,48.62,40,8,48,40,8,48,40,8,48
200,0.86439,0,66.6368593238074,0.04,1.22,0,47.2312620115311,0.06,11.6,9.4,6.4,40.6,17.7,55.65,172.52,12.3,9,6.1,20.2,17.8,53.13,361.37,12.3,9,6,20,17.6,52.62,364.88,42.8,8.24,51.04,40.64,40.64,81.28,40.24,7.92,48.16,40.5,8.12,48.62,0,40.5,40.5,40.5,8.12,48.62,40,8,48,40,8,48,40,8,48
210,0.86467,0,66.6147278348654,0.04,1.22,0,47.2312620115311,0.06,11.7,9.4,6.4,40.6,17.7,55.8,172.04,12.3,9,6.1,20.2,17.8,53.11,361.51,12.3,9,6,20,17.6,52.62,364.88,42.88,8.24,51.12,40.64,40.64,81.28,40.32,8,48.32,40.5,8.12,48.62,0,40.5,40.5,40.5,8.12,48.62,40,8,48,40,8,48,40,8,48
220,0.86504,0,66.5868000035816,0.04,1.22,0,47.2312620115311,0.06,11.4,9.3,6.4,40.6,17.8,55.9,171.73,12.3,9,6.1,20.2,17.8,53.09,361.65,12.3,9,6,20,17.6,52.62,364.88,42.8,8.24,51.04,40.56,40.56,81.12,40.48,8,48.48,40.5,8.12,48.62,0,40.5,40.5,40.5,8,48.5,40,8,48,40,8,48,40,8,48
230,0.86527,0,66.5686065180103,0.04,1.22,0,47.2312620115311,0.06,11.2,9.4,6.4,40.6,17.8,55.78,172.09,12.3,9,6.1,20.2,17.8,53.07,361.78,12.3,9,6,20,17.6,52.62,364.88,42.96,8.24,51.2,40.56,40.56,81.12,40.56,8.08,48.64,40.37,8.12,48.49,0,40.37,40.37,40.37,8,48.37,40,8,48,40,8,48,40,8,48
240,0.86557,0,66.545948542024,0.04,1.22,0,47.2312620115311,0.06,11.5,9.3,6.4,40.5,17.9,56.31,170.49,12.3,9,6.1,20.2,17.8,53.06,361.85,12.3,9,6,20,17.6,52.62,364.88,42.8,8.24,51.04,40.56,40.56,81.12,40.64,8.08,48.72,40.37,8.12,48.49,0,40.37,40.37,40.37,8.12,48.49,40,8,48,40,8,48,40,8,48
250,0.86662,0,66.4650768144008,0.04,1.22,0,47.2312620115311,0.06,11.2,9.4,6.4,40.5,17.9,56,171.43,12.3,9,6.1,20.2,17.8,53,362.26,12.3,9,6,20,17.6,52.62,364.88,42.96,8.24,51.2,40.56,40.48,81.04,40.64,8.08,48.72,40.37,8.12,48.49,0,40.37,40.37,40.37,8,48.37,40,8,48,40,8,48,40,8,48
260,0.86687,0,66.4458319039451,0.04,1.22,0,47.2312620115311,0.06,11.5,9.3,6.9,40.5,17.9,57.09,168.14,12.3,9,7.1,20.2,17.8,53.99,355.62,12.3,9,6,20,17.6,52.62,364.88,46.72,8.24,54.96,40.48,40.48,80.96,40.72,8.08,48.8,48.37,8,56.37,0,40.37,40.37,40.37,8,48.37,40,8,48,40,8,48,40,8,48
270,0.86611,0,66.5040703901557,0.04,1.22,0,47.2312620115311,0.06,11.7,9.3,7.9,40.5,17.9,57.79,166.11,12.3,9,6.1,20.2,17.8,53.02,362.12,12.3,9,6,20,17.6,52.62,364.88,54.96,8.24,63.2,40.48,40.48,80.96,40.8,8.08,48.88,40.37,8,48.37,0,40.37,40.37,40.37,8,48.37,40,8,48,40,8,48,40,8,48
280,0.86632,0,66.4879862778731,0.04,1.22,0,47.2312620115311,0.06,12.2,9.3,7.9,40.5,18,58.06,165.35,12.3,9,8.1,20.2,17.8,55.03,348.9,12.3,9,6,20,17.6,52.62,364.88,55.2,8.24,63.44,40.48,40.48,80.96,40.88,8.08,48.96,56.37,8,64.37,0,40.37,40.37,40.37,8,48.37,40,8,48,40,8,48,40,8,48
290,0.86745,0,66.4018439888523,0.04,1.22,0,47.2312620115311,0.06,11.7,9.3,8,40.5,17.9,57.61,166.63,12.3,9,6,20.2,17.8,52.98,362.4,12.3,9,6,20,17.6,52.62,364.88,55.76,8.24,64,40.48,40.48,80.96,40.8,8,48.8,40.37,8,48.37,0,40.37,40.37,40.37,8.12,48.49,40,8,48,40,8,48,40,8,48
300,0.86763,0,66.3878696397942,0.04,1.22,0,47.2312620115311,0.06,12.2,9.2,7.9,40.4,17.8,57.26,167.66,12.3,9,7.1,20.2,17.8,53.97,355.75,12.3,9,8,20,17.6,54.62,351.51,55.36,8.24,63.6,40.48,40.4,80.88,40.56,8,48.56,48.37,8,56.37,0,40.37,40.37,40.37,8,48.37,56,8,64,40,8,48,40,8,48
310,0.86777,0,66.3768041166381,0.04,1.22,0,47.2312620115311,0.06,11.7,9.3,8,40.4,17.9,57.21,167.8,12.3,9,8.1,20.2,17.8,54.96,349.34,12.3,9,8,20,17.6,54.62,351.51,55.76,8.24,64,40.4,40.4,80.8,40.72,8,48.72,56.37,8,64.37,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
320,0.86792,0,66.365485114162,0.04,1.22,0,47.2312620115311,0.06,12.2,9.2,8,40.4,17.9,57.27,167.63,12.3,9,8.1,20.2,17.8,54.95,349.4,12.3,9,8,20,17.6,54.62,351.51,55.52,8.24,63.76,40.4,40.4,80.8,40.72,8,48.72,56.37,8,64.37,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
330,0.86805,0,66.3557269296741,0.04,1.22,0,47.2312620115311,0.06,11.7,9.3,8,40.4,17.9,57.62,166.61,12.3,9,8,20.1,17.8,54.96,349.34,12.3,9,8,20,17.6,54.62,351.51,55.76,8.24,64,40.4,40.4,80.8,40.72,8,48.72,56.37,8,64.37,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
340,0.86818,0,66.3457152658662,0.04,1.22,0,47.2312620115311,0.06,12.1,9.2,7.9,40.4,17.9,57.75,166.24,12.3,9,8,20.1,17.8,54.95,349.4,12.3,9,8,20,17.6,54.62,351.51,55.28,8.24,63.52,40.4,40.4,80.8,40.8,8,48.8,56.37,8,64.37,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
350,0.86951,0,66.2442888651941,0.04,1.22,0,47.2312620115311,0.06,11.7,9.3,8,40.4,17.9,57.23,167.76,12.3,9,8,20.1,17.7,54.87,349.91,12.3,9,8,20,17.6,54.62,351.51,55.76,8.24,64,40.4,40.4,80.8,40.8,8,48.8,56.37,8,64.37,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
360,0.86963,0,66.2350600343053,0.04,1.22,0,47.2312620115311,0.06,12.1,9.2,7.9,40.4,17.9,57.54,166.83,12.3,9,8,20.1,17.7,54.9,349.72,12.3,9,8,20,17.6,54.62,351.51,55.28,8.24,63.52,40.4,40.4,80.8,40.8,8,48.8,56.37,8,64.37,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
370,0.86846,0,66.3241111492281,0.04,1.22,0,47.2312620115311,0.06,11.6,9.2,8,40.4,17.9,57.41,167.23,12.3,9,8,20.1,17.7,54.91,349.66,12.3,9,8,20,17.6,54.62,351.51,55.68,8.24,63.92,40.4,40.4,80.8,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
380,0.86859,0,66.3140994854202,0.04,1.22,0,47.2312620115311,0.06,12.1,9.2,7.9,40.4,17.9,57.32,167.48,12.3,9,8,20.1,17.7,54.93,349.53,12.3,9,8,20,17.6,54.62,351.51,55.2,8.24,63.44,40.4,40.32,80.72,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
390,0.86863,0,66.3109379073756,0.04,1.22,0,47.2312620115311,0.06,11.6,9.2,8,40.4,17.9,57.2,167.83,12.3,9,8,20.1,17.7,54.92,349.59,12.3,9,8,20,17.6,54.62,351.51,55.6,8.24,63.84,40.4,40.32,80.72,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
400,0.86873,0,66.3035608919383,0.04,1.22,0,47.2312620115311,0.06,12.1,9.2,7.9,40.3,17.9,57.26,167.67,12.3,9,8,20.1,17.8,54.93,349.53,12.3,9,8,20,17.6,54.62,351.51,55.12,8.24,63.36,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
410,0.86879,0,66.2990906473361,0.04,1.22,0,47.2312620115311,0.06,11.5,9.2,8,40.3,17.9,57.21,167.8,12.3,9,8,20.1,17.7,54.92,349.59,12.3,9,8,20,17.6,54.62,351.51,55.52,8.24,63.76,40.32,40.32,80.64,40.88,8,48.88,56.25,8,64.25,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
420,0.86889,0,66.2917134843554,0.04,1.22,0,47.2312620115311,0.06,12,9.2,7.9,40.3,17.9,57.26,167.66,12.3,9,8,20.1,17.7,54.88,349.85,12.3,9,8,20,17.6,54.62,351.51,55.04,8.24,63.28,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
430,0.86891,0,66.2898607204117,0.04,1.22,0,47.2312620115311,0.06,11.5,9.2,8,40.3,18,57.22,167.79,12.3,9,8,20.1,17.7,54.9,349.72,12.3,9,8,20,17.6,54.62,351.51,55.52,8.24,63.76,40.32,40.32,80.64,40.88,8,48.88,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
440,0.86901,0,66.2824837049743,0.04,1.22,0,47.2312620115311,0.06,12,9.2,7.9,40.3,17.9,57.14,168.01,12.3,9,8,20.1,17.7,54.89,349.79,12.3,9,8,20,17.6,54.62,351.51,54.96,8.24,63.2,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
450,0.86903,0,66.2806477398845,0.04,1.22,0,47.2312620115311,0.06,11.5,9.2,8,40.3,17.9,56.99,168.45,12.3,9,8,20.1,17.7,54.89,349.79,12.3,9,8,20,17.6,54.62,351.51,55.44,8.24,63.68,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
460,0.86911,0,66.2745797598628,0.04,1.22,0,47.2312620115311,0.06,11.9,9.2,7.9,40.3,17.9,57.28,167.6,12.3,9,8,20.1,17.7,54.86,349.98,12.3,9,8,20,17.6,54.62,351.51,55.04,8.24,63.28,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
470,0.86912,0,66.2740528301887,0.04,1.22,0,47.2312620115311,0.06,11.5,9.2,8,40.3,17.9,57,168.42,12.3,9,8,20.1,17.7,54.88,349.85,12.3,9,8,20,17.6,54.62,351.51,55.44,8.24,63.68,40.32,40.32,80.64,40.88,8,48.88,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
480,0.8692,0,66.2680011747748,0.04,1.22,0,47.2312620115311,0.06,12,9.2,7.9,40.3,17.9,57.15,167.97,12.3,9,8,20.1,17.7,54.89,349.79,12.3,9,8,20,17.6,54.62,351.51,55.04,8.24,63.28,40.32,40.32,80.64,40.88,8,48.88,56.25,8,64.25,0,40.25,40.25,40.25,8.12,48.37,56,8,64,40,8,48,40,8,48
490,0.87093,0,66.1362661215488,0.04,1.22,0,47.2312620115311,0.06,11.5,9.2,8,40.3,17.9,57.03,168.33,12.3,9,8,20.1,17.7,54.81,350.3,12.3,9,8,20,17.6,54.62,351.51,55.44,8.24,63.68,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
500,0.86927,0,66.2627317726458,0.04,1.22,0,47.2312620115311,0.06,11.9,9.1,7.9,40.3,17.9,57.34,167.43,12.3,9,8,20.1,17.7,54.88,349.85,12.3,9,8,20,17.6,54.62,351.51,54.96,8.24,63.2,40.32,40.32,80.64,40.8,8,48.8,56.25,8,64.25,0,40.25,40.25,40.25,8,48.25,56,8,64,40,8,48,40,8,48
510,0.87107,0,66.1257273172908,0.04,1.22,0,47.2312620115311,0.06,11.8,9.2,8,40.3,17.9,57.43,167.16,12.3,9,8,20.1,17.7,54.8,350.36,12.3,9,8,20,17.6,54.62,351.51,55.92,8.24,64.16,40.32,40.32,80.64,40.88,8,48.88,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
520,0.87114,0,66.1204579151617,0.04,1.22,0,47.2312620115311,0.06,12.1,9.1,8.3,40.3,17.9,57.63,166.57,12.3,9,8,20.1,17.7,54.8,350.36,12.3,9,8,20,17.6,54.62,351.51,57.84,8.24,66.08,40.32,40.32,80.64,40.88,8,48.88,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
530,0.87121,0,66.1151885130327,0.04,1.22,0,47.2312620115311,0.06,11.6,9.2,8.3,40.3,17.9,57.56,166.8,12.3,9,8,20.1,17.7,54.79,350.42,12.3,9,8,20,17.6,54.62,351.51,58.32,8.24,66.56,40.32,40.24,80.56,40.88,8,48.88,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
540,0.87126,0,66.111231560892,0.04,1.22,0,47.2312620115311,0.06,12.1,9.1,8.3,40.3,17.9,57.59,166.7,12.3,9,8,20.1,17.7,54.79,350.42,12.3,9,8,20,17.6,54.62,351.51,57.92,8.24,66.16,40.32,40.24,80.56,40.8,8,48.8,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
550,0.87133,0,66.105962264151,0.04,1.22,0,47.2312620115311,0.06,11.6,9.2,8.3,40.3,17.9,57.23,167.76,12.3,9,8,20.1,17.7,54.79,350.42,12.3,9,8,20,17.6,54.62,351.51,58.16,8.24,66.4,40.32,40.24,80.56,40.8,8,48.8,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
560,0.87136,0,66.1033276157805,0.04,1.22,0,47.2312620115311,0.06,12.2,9.1,8.3,40.3,17.9,57.22,167.77,12.3,9,8,20.1,17.7,54.79,350.42,12.3,9,8,20,17.6,54.62,351.51,57.92,8.24,66.16,40.24,40.24,80.48,40.8,8,48.8,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
570,0.87143,0,66.0980583190395,0.04,1.22,0,47.2312620115311,0.06,11.7,9.2,8.3,40.3,17.9,57.11,168.09,12.3,9,8,20.1,17.7,54.78,350.49,12.3,9,8,20,17.6,54.62,351.51,58.08,8.24,66.32,40.24,40.24,80.48,40.88,8,48.88,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
580,0.87148,0,66.0941109045166,0.04,1.22,0,47.2312620115311,0.06,12.1,9.1,8.3,40.2,17.9,57.26,167.67,12.3,9,8,20.1,17.7,54.78,350.49,12.3,9,8,20,17.6,54.62,351.51,57.92,8.24,66.16,40.24,40.16,80.4,40.88,8,48.88,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
590,0.87154,0,66.090154373928,0.04,1.22,0,47.2312620115311,0.06,11.7,9.2,8.3,40.3,17.9,56.95,168.58,12.3,9,8,20.1,17.7,54.78,350.49,12.3,9,8,20,17.6,54.62,351.51,58.16,8.16,66.32,40.24,40.24,80.48,40.8,8,48.8,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
600,0.87157,0,66.0875197255575,0.04,1.22,0,47.2312620115311,0.06,11.8,9.1,8.3,40.3,17.9,57.02,168.36,12.3,9,8,20.1,17.7,54.77,350.55,12.3,9,8,20,17.6,54.62,351.51,58.08,8.16,66.24,40.24,40.24,80.48,40.8,8,48.8,56.25,8,64.25,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
610,0.87164,0,66.0822504288165,0.04,1.22,0,47.2312620115311,0.06,8.8,9.1,8.3,40.3,17.9,56.91,168.7,12.3,9,8,20.1,17.7,54.77,350.55,12.3,9,8,20,17.6,54.62,351.51,58.08,8.16,66.24,40.24,40.24,80.48,40.8,8,48.8,56.12,8,64.12,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
620,0.87168,0,66.079615780446,0.04,1.22,0,47.2312620115311,0.06,12.2,9.1,8.3,40.3,17.9,57.21,167.8,12.3,9,8,20.1,17.7,54.77,350.55,12.3,9,8,20,17.6,54.62,351.51,57.84,8.16,66,40.24,40.24,80.48,40.88,8,48.88,56.12,8,64.12,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
630,0.87173,0,66.0756679970649,0.04,1.22,0,47.2312620115311,0.06,11.7,9.1,1,40.3,17.9,56.94,168.61,12.3,9,8,20.1,17.7,54.77,350.55,12.3,9,8,20,17.6,54.62,351.51,0,8.16,8.16,40.24,40.24,80.48,40.8,8,48.8,56.12,8,64.12,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
640,0.87176,0,66.0730332960004,0.04,1.22,0,47.2312620115311,0.06,12.3,9.1,8.3,40.3,17.9,57.21,167.82,12.3,9,8,20.1,17.7,54.76,350.62,12.3,9,8,20,17.6,54.62,351.51,58.32,8.16,66.48,40.24,40.24,80.48,40.88,8,48.88,56.12,8,64.12,0,40.12,40.12,40.12,8,48.12,56,8,64,40,8,48,40,8,48
